Date	CustomerNo_X	Stock_I
06-06-15	5	11
07-06-15	8	4
08-06-15	10	5
09-06-15	10	6
10-06-15	10	12
11-06-15	8	6
12-06-15	8	7
13-06-15	6	8
14-06-15	4	9
15-06-15	2	4
16-06-15	1	5
17-06-15	1	2
18-06-15	3	5
19-06-15	2	4
20-06-15	9	19
21-06-15	3	6
22-06-15	4	3
23-06-15	5	9
24-06-15	5	12
25-06-15	6	20
26-06-15	7	14
27-06-15	9	10
28-06-15	10	3
29-06-15	2	6
30-06-15	1	8
01-07-15	10	8
02-07-15	9	1
03-07-15	8	1
04-07-15	3	5
05-07-15	9	19
06-07-15	3	6
07-07-15	4	3
08-07-15	5	9
09-07-15	5	12
10-07-15	6	20
11-07-15	7	14
12-07-15	9	10
13-07-15	10	3
14-07-15	2	6
15-07-15	1	8
16-07-15	10	8
17-07-15	9	1
18-07-15	8	1
19-07-15	3	5
20-07-15	4	13
21-07-15	7	15
22-07-15	7	18
23-07-15	9	19
24-07-15	3	6
25-07-15	4	3
26-07-15	5	9
27-07-15	5	12
28-07-15	6	20
29-07-15	7	14
30-07-15	9	10
31-07-15	10	3
01-08-15	2	6
02-08-15	5	9
03-08-15	5	12
04-08-15	6	20
05-08-15	7	14
06-08-15	9	10
07-08-15	10	3
08-08-15	2	6
09-08-15	1	8
10-08-15	10	8
11-08-15	9	1
12-08-15	8	1
13-08-15	3	5
14-08-15	4	13
15-08-15	7	15
16-08-15	7	18
17-08-15	9	19
18-08-15	3	6
19-08-15	4	3
20-08-15	5	12
21-08-15	8	7
22-08-15	6	8
23-08-15	4	9
24-08-15	2	4
25-08-15	5	5
26-08-15	4	20
27-08-15	3	3
28-08-15	3	5
29-08-15	5	7
30-08-15	7	8
31-08-15	9	2
01-09-15	9	2
02-09-15	7	1
03-09-15	4	8
04-09-15	5	1
05-09-15	6	2
06-09-15	1	3
07-09-15	2	4
08-09-15	3	5
09-09-15	4	9
10-09-15	6	10
11-09-15	9	3
12-09-15	7	2
13-09-15	4	4
14-09-15	5	6
15-09-15	2	7
16-09-15	1	2
17-09-15	3	5
18-09-15	2	4
19-09-15	9	19
20-09-15	3	6
21-09-15	4	3
22-09-15	5	9
23-09-15	5	12
24-09-15	6	20
25-09-15	7	14
26-09-15	9	10
27-09-15	10	3
28-09-15	5	4
29-09-15	4	4
30-09-15	2	13
01-10-15	8	20
02-10-15	4	14
03-10-15	5	10
04-10-15	5	3
05-10-15	5	6
06-10-15	8	15
07-10-15	9	16
08-10-15	10	17
09-10-15	9	18
10-10-15	7	19
11-10-15	4	20
12-10-15	5	11
13-10-15	8	4
14-10-15	10	5
15-10-15	3	5
16-10-15	2	4
17-10-15	9	19
18-10-15	3	6
19-10-15	4	3
20-10-15	5	9
21-10-15	5	12
22-10-15	6	20
23-10-15	7	14
24-10-15	9	10
25-10-15	10	3
26-10-15	5	4
27-10-15	4	4
28-10-15	6	14
29-10-15	7	15
30-10-15	9	16
31-10-15	10	17
01-11-15	2	18
02-11-15	5	19
03-11-15	5	20
04-11-15	6	11
05-11-15	7	4
06-11-15	9	5
07-11-15	10	6
08-11-15	2	9
09-11-15	1	11
10-11-15	10	13
11-11-15	9	15
12-11-15	8	18
13-11-15	3	19
14-11-15	4	6
15-11-15	7	3
16-11-15	7	9
17-11-15	9	12
18-11-15	3	20
19-11-15	4	14
20-11-15	5	10
21-11-15	8	3
22-11-15	6	6
23-11-15	4	6
24-11-15	2	3
25-11-15	5	9
26-11-15	4	14
27-11-15	3	10
28-11-15	3	3
29-11-15	5	7
30-11-15	2	13
01-12-15	4	14
02-12-15	6	15
03-12-15	8	16
04-12-15	10	17
05-12-15	1	18
06-12-15	3	19
07-12-15	5	20
08-12-15	7	11
09-12-15	9	4
10-12-15	4	5
11-12-15	5	6
12-12-15	5	9
13-12-15	4	20
14-12-15	5	14
15-12-15	6	10
16-12-15	1	3
17-12-15	2	6
18-12-15	3	8
19-12-15	4	8
20-12-15	6	1
21-12-15	9	1
22-12-15	7	5
23-12-15	4	7
24-12-15	5	9
25-12-15	2	2
26-12-15	4	3
27-12-15	5	5
28-12-15	5	15
29-12-15	4	3
30-12-15	2	4
31-12-15	8	14
