Date	CustomerNo_X	Stock_I
25-05-15	4	3
26-05-15	5	9
27-05-15	5	12
28-05-15	8	7
29-05-15	6	8
30-05-15	4	9
31-05-15	2	4
01-06-15	5	5
02-06-15	5	4
03-06-15	4	4
04-06-15	2	13
05-06-15	8	20
06-06-15	4	14
07-06-15	5	10
08-06-15	5	3
09-06-15	5	6
10-06-15	8	15
11-06-15	9	16
12-06-15	10	17
13-06-15	9	18
14-06-15	7	19
15-06-15	4	20
16-06-15	5	11
17-06-15	8	4
18-06-15	10	5
19-06-15	10	6
20-06-15	9	9
21-06-15	9	11
22-06-15	8	3
23-06-15	8	4
24-06-15	7	14
25-06-15	7	3
26-06-15	6	9
27-06-15	6	12
28-06-15	5	7
29-06-15	5	8
30-06-15	4	9
01-07-15	5	6
02-07-15	8	15
03-07-15	9	16
04-07-15	10	17
05-07-15	9	18
06-07-15	7	19
07-07-15	4	20
08-07-15	5	11
09-07-15	8	4
10-07-15	10	5
11-07-15	10	6
12-07-15	10	12
13-07-15	8	6
14-07-15	8	7
15-07-15	6	8
16-07-15	4	9
17-07-15	2	4
18-07-15	1	5
19-07-15	1	2
20-07-15	3	5
21-07-15	2	4
22-07-15	9	19
23-07-15	3	6
24-07-15	4	3
25-07-15	5	9
26-07-15	5	12
27-07-15	6	20
28-07-15	7	14
29-07-15	9	10
30-07-15	10	3
31-07-15	2	6
01-08-15	1	8
02-08-15	10	8
03-08-15	9	1
04-08-15	8	1
05-08-15	3	5
06-08-15	9	19
07-08-15	3	6
08-08-15	4	3
09-08-15	5	9
10-08-15	5	12
11-08-15	6	20
12-08-15	7	14
13-08-15	9	10
14-08-15	10	3
15-08-15	2	6
16-08-15	1	8
17-08-15	10	8
18-08-15	9	1
19-08-15	8	1
20-08-15	3	5
21-08-15	4	13
22-08-15	7	15
23-08-15	7	18
24-08-15	9	19
25-08-15	3	6
26-08-15	4	3
27-08-15	5	9
28-08-15	5	12
29-08-15	6	20
30-08-15	7	14
31-08-15	9	10
01-09-15	10	3
02-09-15	2	6
03-09-15	5	9
04-09-15	5	12
05-09-15	6	20
06-09-15	7	14
07-09-15	9	10
08-09-15	10	3
09-09-15	2	6
10-09-15	1	8
11-09-15	10	8
12-09-15	9	1
13-09-15	8	1
14-09-15	3	5
15-09-15	4	13
16-09-15	7	15
17-09-15	7	18
18-09-15	9	19
19-09-15	3	6
20-09-15	4	3
21-09-15	5	12
22-09-15	8	7
23-09-15	6	8
24-09-15	4	9
25-09-15	2	4
26-09-15	5	5
27-09-15	4	20
28-09-15	3	3
29-09-15	3	5
30-09-15	5	7
01-10-15	7	8
02-10-15	9	2
03-10-15	9	2
04-10-15	7	1
05-10-15	4	8
06-10-15	5	1
07-10-15	6	2
08-10-15	1	3
09-10-15	2	4
10-10-15	3	5
11-10-15	4	9
12-10-15	6	10
13-10-15	9	3
14-10-15	7	2
15-10-15	4	4
16-10-15	5	6
17-10-15	2	7
18-10-15	1	2
19-10-15	3	5
20-10-15	2	4
21-10-15	9	19
22-10-15	3	6
23-10-15	4	3
24-10-15	5	9
25-10-15	5	12
26-10-15	6	20
27-10-15	7	14
28-10-15	9	10
29-10-15	10	3
30-10-15	5	4
31-10-15	4	4
01-11-15	2	13
02-11-15	8	20
03-11-15	4	14
04-11-15	5	10
05-11-15	5	3
06-11-15	5	6
07-11-15	8	15
08-11-15	9	16
09-11-15	10	17
10-11-15	9	18
11-11-15	7	19
12-11-15	4	20
13-11-15	5	11
14-11-15	8	4
15-11-15	10	5
16-11-15	3	5
17-11-15	2	4
18-11-15	9	19
19-11-15	3	6
20-11-15	4	3
21-11-15	5	9
22-11-15	5	12
23-11-15	6	20
24-11-15	7	14
25-11-15	9	10
26-11-15	10	3
27-11-15	5	4
28-11-15	4	4
29-11-15	6	14
30-11-15	7	15
01-12-15	9	16
02-12-15	10	17
03-12-15	2	18
04-12-15	5	19
05-12-15	5	20
06-12-15	6	11
07-12-15	7	4
08-12-15	9	5
09-12-15	10	6
10-12-15	2	9
11-12-15	1	11
12-12-15	10	13
13-12-15	9	15
14-12-15	8	18
15-12-15	3	19
16-12-15	4	6
17-12-15	7	3
18-12-15	7	9
19-12-15	9	12
20-12-15	3	20
21-12-15	4	14
22-12-15	5	10
23-12-15	8	3
24-12-15	6	6
25-12-15	4	6
26-12-15	2	3
27-12-15	5	9
28-12-15	4	14
29-12-15	3	10
30-12-15	3	3
31-12-15	5	7
